ajenar	ajeno
arrestar	arresto
encabronar	encabrono
intrincar	intrinco
acordar	acuerdo
tutear	tuteo
drogar	drogo
denotar	denoto
redactar	redacto
cocear	coceo
checar	checo
fornicar	fornico
triar	trío
consultar	consulto
intentar	intento
discordar	discuerdo
oficializar	oficializo
misionar	misiono
trasquilar	trasquilo
danzar	danzo
envidiar	envidio
cohechar	cohecho
sillar	sillo
enorgullecer	enorgullezco
experimentar	experimento
restregar	restriego
taconear	taconeo
aleccionar	alecciono
talar	talo
infraccionar	infracciono
desplegar	despliego
atribular	atribulo
enarbolar	enarbolo
adarvar	adarvo
recolectar	recolecto
masificar	masifico
perforar	perforo
polemizar	polemizo
hipar	hipo
teledirigir	teledirijo
esmaltar	esmalto
concelebrar	concelebro
revolver	revuelvo
patrocinar	patrocino
chapalear	chapaleo
antorchar	antorcho
promiscuar	promiscuo
refulgir	refuljo
girar	giro
mojar	mojo
precipitar	precipito
malherir	malhiero
eructar	eructo
ensamblar	ensamblo
irrespetar	irrespeto
morir	muero
refacturar	refacturo
pervertir	pervierto
repujar	repujo
hender	hiendo
decorar	decoro
arrejuntar	arrejunto
enmasillar	enmasillo
canear	caneo
hidratar	hidrato
acrisolar	acrisolo
felicitar	felicito
trazar	trazo
troncar	tronco
cascar	casco
circunscribir	circunscribo
comisariar	comisarío
limar	limo
aculebrar	aculebro
petrificar	petrifico
brochar	brocho
fardar	fardo
abañar	abaño
cobrar	cobro
precomprar	precompro
rembolsar	rembolso
resurgir	resurjo
pajear	pajeo
devaluar	devalúo
expansionar	expansiono
exacerbar	exacerbo
mercerizar	mercerizo
significar	significo
adyacer	adyazco
sincopar	sincopo
atrancar	atranco
empeller	empello
repensar	repienso
rozar	rozo
europeizar	europeizo
acorazar	acorazo
compaginar	compagino
mover	muevo
enjaular	enjaulo
admirar	admiro
crotorear	crotoreo
escabechar	escabecho
trasvasar	trasvaso
desbancar	desbanco
escriturar	escrituro
acoquinar	acoquino
resumir	resumo
moldear	moldeo
reencarnar	reencarno
acanalar	acanalo
pernoctar	pernocto
adujar	adujo
malvivir	malvivo
interdisciplinar	interdisciplino
indigestar	indigesto
saltar	salto
coser	coso
penar	peno
espirar	espiro
agusanar	agusano
aherrojar	aherrojo
aplaudir	aplaudo
helar	hielo
codear	codeo
hechizar	hechizo
rezongar	rezongo
rajar	rajo
prevalecer	prevalezco
seguir	sigo
contrastar	contrasto
reajustar	reajusto
encinar	encino
avezar	avezo
rezumar	rezumo
abarrotar	abarroto
triturar	trituro
alhajar	alhajo
admitir	admito
llamear	llameo
preservar	preservo
dentar	diento
turnar	turno
encontrar	encuentro
encumbrar	encumbro
apechar	apecho
acercar	acerco
vestir	visto
granjear	granjeo
implicar	implico
doctorar	doctoro
jugar	juego
descuajaringar	descuajaringo
reverdecer	reverdezco
achatarrar	achatarro
despintar	despinto
alabar	alabo
arar	aro
acabar	acabo
desincrustar	desincrusto
sobar	sobo
apachar	apacho
espaciar	espacio
rapear	rapeo
contentar	contento
revalorizar	revalorizo
afeitar	afeito
entenebrecer	entenebrezco
recapitular	recapitulo
pingar	pingo
desacomodar	desacomodo
alterar	altero
escoltar	escolto
desionizar	desionizo
mesurar	mesuro
despolitizar	despolitizo
gustar	gusto
invitar	invito
remedar	remedo
cohibir	cohíbo
cualificar	cualifico
excusar	excuso
acentuar	acentúo
privar	privo
embadurnar	embadurno
garapiñar	garapiño
inaugurar	inauguro
enviar	envío
trascribir	trascribo
redecir	redigo
trompear	trompeo
acular	aculo
prudenciar	prudencio
deliberar	delibero
gallear	galleo
satelizar	satelizo
aviar	avío
incriminar	incrimino
acetificar	acetifico
abandonar	abandono
invadir	invado
remitir	remito
pinzar	pinzo
derrocar	derroco
prejuiciar	prejuicio
sumergir	sumerjo
ennegrecer	ennegrezco
alongar	alongo
lastimar	lastimo
ensortijar	ensortijo
preguntar	pregunto
desplazar	desplazo
transmigrar	transmigro
fusionar	fusiono
tamborilear	tamborileo
desembozar	desembozo
difractar	difracto
revisitar	revisito
enjoyar	enjoyo
castigar	castigo
desarraigar	desarraigo
apatrullar	apatrullo
suavizar	suavizo
ensillar	ensillo
rondar	rondo
reevaluar	reevalúo
ahormar	ahormo
agrietar	agrieto
amodorrar	amodorro
chancletear	chancleteo
pausar	pauso
integrar	integro
parlotear	parloteo
redefinir	redefino
corromper	corrompo
reinar	reino
atiborrar	atiborro
lacear	laceo
desflecar	desfleco
desentonar	desentono
conservar	conservo
asimilar	asimilo
redimir	redimo
calmar	calmo
desdolarizar	desdolarizo
adurir	aduro
reflorecer	reflorezco
recocer	recuezo
amohinar	amohíno
internacionalizar	internacionalizo
autoproclamar	autoproclamo
malinterpretar	malinterpreto
palpitar	palpito
pivotar	pivoto
lloriquear	lloriqueo
meritar	merito
dificultar	dificulto
atrever	atrevo
mester	mesto
estreñir	estriño
neviscar	nevisco
hacinar	hacino
publicitar	publicito
rencontraer	rencontrao
brujulear	brujuleo
reprobar	repruebo
readaptar	readapto
tercerizar	tercerizo
negligir	neglijo
saludar	saludo
intimar	intimo
hispanizar	hispanizo
celar	celo
resincronizar	resincronizo
esclavizar	esclavizo
mariposear	mariposeo
normalizar	normalizo
faldear	faldeo
adoctrinar	adoctrino
patalear	pataleo
habilitar	habilito
canchar	cancho
blindar	blindo
davilar	davilo
atrasar	atraso
zarandear	zarandeo
subordinar	subordino
destinar	destino
espigar	espigo
aguijar	aguijo
compenetrar	compenetro
demostrar	demuestro
cristalizar	cristalizo
enlatar	enlato
nidificar	nidifico
ensayar	ensayo
multidisciplinar	multidisciplino
desapegar	desapego
trenzar	trenzo
ilusionar	ilusiono
desplatar	desplato
cinematografiar	cinematografío
retimbrar	retimbro
conversar	converso
herniar	hernio
tablar	tablo
alquilar	alquilo
estresar	estreso
deslucir	desluzco
rumorar	rumoro
cromar	cromo
abrochar	abrocho
desvivir	desvivo
encapotar	encapoto
desterrar	destierro
ordeñar	ordeño
dedear	dedeo
notar	noto
engrosar	engrueso
atender	atiendo
amainar	amaino
sombrar	sombro
farolear	faroleo
abastar	abasto
atestar	atiesto
hastiar	hastío
espinar	espino
abetunar	abetuno
deflagrar	deflagro
recombinar	recombino
atajar	atajo
telefonear	telefoneo
adjudicar	adjudico
cuitar	cuito
molestar	molesto
acogotar	acogoto
plastificar	plastifico
vincular	vinculo
carbonatar	carbonato
traspasar	traspaso
positivar	positivo
manumitir	manumito
viralizar	viralizo
elidir	elido
evidenciar	evidencio
rebatir	rebato
inventar	invento
trasplantar	trasplanto
confeccionar	confecciono
negar	niego
pulverizar	pulverizo
baremar	baremo
flaquear	flaqueo
extorsionar	extorsiono
extraditar	extradito
despeñar	despeño
colisionar	colisiono
purpurar	purpuro
guarecer	guarezco
supeditar	supedito
emplear	empleo
comparar	comparo
teclear	tecleo
tarascar	tarasco
incubar	incubo
hisopar	hisopo
ambicionar	ambiciono
enumerar	enumero
bridar	brido
saldar	saldo
preparar	preparo
afectar	afecto
obviar	obvio
reeditar	reedito
barloventear	barloventeo
aciemar	aciemo
privatizar	privatizo
castellanizar	castellanizo
festonear	festoneo
enamorar	enamoro
hurtar	hurto
enfriar	enfrío
revolar	revuelo
desacreditar	desacredito
deshabilitar	deshabilito
gemir	gimo
soplar	soplo
desinsectar	desinsecto
gravitar	gravito
aplacar	aplaco
deferir	defiero
empequeñecer	empequeñezco
enflaquecer	enflaquezco
ventosear	ventoseo
recubrir	recubro
hornear	horneo
balsear	balseo
derelinquir	derelinco
fortificar	fortifico
deslindar	deslindo
atemperar	atempero
parangonar	parangono
injerir	injiero
atracar	atraco
abnegar	abniego
taquillar	taquillo
balacear	balaceo
estomagar	estomago
aserruchar	aserrucho
palear	paleo
rotar	roto
trasformar	trasformo
abarracar	abarraco
traslucir	trasluzco
constelar	constelo
movilizar	movilizo
socarrar	socarro
asar	aso
expugnar	expugno
conjugar	conjugo
tensar	tenso
presenciar	presencio
reforestar	reforesto
barequear	barequeo
insumir	insumo
chapotear	chapoteo
pendenciar	pendencio
alistar	alisto
bromear	bromeo
marinar	marino
inmolar	inmolo
succionar	succiono
hallar	hallo
anudar	anudo
salariar	salario
bestializar	bestializo
parapetar	parapeto
declamar	declamo
repulir	repulo
volantear	volanteo
reordenar	reordeno
balbucir	balbuzco
picar	pico
asaetear	asaeteo
desgravar	desgravo
babear	babeo
sugestionar	sugestiono
exceder	excedo
amasar	amaso
negrecer	negrezco
varar	varo
captar	capto
surcir	surzo
asesinar	asesino
culturar	culturo
expeditar	expedito
compeler	compelo
desaprobar	desapruebo
fuñir	fuño
respetar	respeto
rehusar	rehúso
simultanear	simultaneo
jerarquizar	jerarquizo
abducir	abduzco
cecear	ceceo
mensurar	mensuro
desprevenir	desprevengo
aturar	aturo
chotear	choteo
expresar	expreso
macerar	macero
numerar	numero
acodar	acodo
atropellar	atropello
farandulear	faranduleo
colar	cuelo
emplazar	emplazo
fibrilar	fibrilo
ecualizar	ecualizo
chorrear	chorreo
estigmatizar	estigmatizo
reverberar	reverbero
curtir	curto
epitomar	epitomo
devengar	devengo
amoblar	amueblo
destrenzar	destrenzo
refractar	refracto
emberrenchinar	emberrenchino
autorregular	autorregulo
agasajar	agasajo
abaratar	abarato
compartir	comparto
rumbear	rumbeo
reticular	reticulo
emanar	emano
fraternizar	fraternizo
recompensar	recompenso
desatorar	desatoro
inyectar	inyecto
magnetizar	magnetizo
mear	meo
empeñar	empeño
criticar	critico
autogobernar	autogobierno
aplatanar	aplatano
boquear	boqueo
asfaltar	asfalto
libertar	liberto
relacionar	relaciono
planchar	plancho
chispar	chispo
fumigar	fumigo
procrear	procreo
guayar	guayo
agrupar	agrupo
trasferir	trasfiero
desaconsejar	desaconsejo
mecanografiar	mecanografío
piratear	pirateo
avinagrar	avinagro
configurar	configuro
reconcentrar	reconcentro
degradar	degrado
clamar	clamo
adamar	adamo
zorrear	zorreo
tamborear	tamboreo
finiquitar	finiquito
disgustar	disgusto
aquietar	aquieto
complementar	complemento
amartillar	amartillo
incumbir	incumbo
gaguear	gagueo
endentar	endiento
diseminar	disemino
galguear	galgueo
disuadir	disuado
armonizar	armonizo
rechistar	rechisto
despiezar	despiezo
desfavorecer	desfavorezco
escaldar	escaldo
desmoldar	desmoldo
fugar	fugo
avivar	avivo
laborar	laboro
aclimatar	aclimato
coleguear	colegueo
desligar	desligo
desempolvar	desempolvo
entonar	entono
arrecir	arrezco
envilecer	envilezco
prender	prendo
sitiar	sitio
taclear	tacleo
renderizar	renderizo
obligar	obligo
filetear	fileteo
infantilizar	infantilizo
embobar	embobo
premiar	premio
reelegir	reelijo
pagar	pago
desenmarañar	desenmaraño
adverar	advero
baratar	barato
refugiar	refugio
desmembrar	desmiembro
peatonalizar	peatonalizo
arrollar	arrollo
reaprender	reaprendo
descachar	descacho
agringar	agringo
encarrilar	encarrilo
estorbar	estorbo
bojar	bojo
idear	ideo
patronear	patroneo
consistir	consisto
injertar	injerto
despreocupar	despreocupo
emocionar	emociono
destornillar	destornillo
aligerar	aligero
contaminar	contamino
enfurruñar	enfurruño
grasar	graso
potenciar	potencio
trepidar	trepido
cercar	cerco
esfumar	esfumo
lagrimar	lagrimo
flanquear	flanqueo
mutar	muto
ocurrir	ocurro
victimar	victimo
huevear	hueveo
rivalizar	rivalizo
diamantar	diamanto
encharcar	encharco
escoriar	escorio
vitorear	vitoreo
vocalizar	vocalizo
recruzar	recruzo
consagrar	consagro
firmar	firmo
cundir	cundo
convalidar	convalido
aglomerar	aglomero
marcir	marzo
reabsorber	reabsorbo
trompicar	trompico
retroiluminar	retroilumino
impurificar	impurifico
coprotagonizar	coprotagonizo
abrumar	abrumo
afrontar	afronto
ostentar	ostento
cincelar	cincelo
conmocionar	conmociono
publicar	publico
bizquear	bizqueo
acordonar	acordono
enfrenar	enfreno
engranar	engrano
estrangular	estrangulo
flirtear	flirteo
reasegurar	reaseguro
aflorar	afloro
popularizar	popularizo
criar	crío
desinfectar	desinfecto
cementar	cemento
eslabonar	eslabono
alardear	alardeo
puchar	pucho
descomprimir	descomprimo
omitir	omito
estoquear	estoqueo
lamer	lamo
sodomizar	sodomizo
quintar	quinto
acunar	acuno
aclamar	aclamo
embarcar	embarco
gañir	gaño
sacudir	sacudo
decolar	decolo
bucear	buceo
comisquear	comisqueo
artesonar	artesono
chaquetear	chaqueteo
saturar	saturo
barbar	barbo
cristianizar	cristianizo
ratonar	ratono
encintar	encinto
entrejuntar	entrejunto
vegetalizar	vegetalizo
sisar	siso
abuchear	abucheo
desprogramar	desprogramo
engrupir	engrupo
predestinar	predestino
apurar	apuro
silbar	silbo
pincelar	pincelo
fervorizar	fervorizo
diluviar	diluvio
trasmigrar	trasmigro
mosquear	mosqueo
arremangar	arremango
forjar	forjo
discar	disco
afligir	aflijo
estafar	estafo
resucitar	resucito
reconducir	reconduzco
datar	dato
discurrir	discurro
encapsular	encapsulo
enriquecer	enriquezco
tachar	tacho
instigar	instigo
erotizar	erotizo
despreciar	desprecio
licitar	licito
caminar	camino
ofuscar	ofusco
corporeizar	corporeizo
desempacar	desempaco
calcificar	calcifico
descarbonatar	descarbonato
acartonar	acartono
judaizar	judaizo
soberbiar	soberbio
hackear	hackeo
mutilar	mutilo
zurrar	zurro
arrimar	arrimo
orear	oreo
eludir	eludo
reembolsar	reembolso
marcar	marco
aliñar	aliño
intranquilizar	intranquilizo
mimeografiar	mimeografío
vehiculizar	vehiculizo
cotejar	cotejo
domesticar	domestico
apostrofar	apostrofo
vociferar	vocifero
ominar	omino
expender	expendo
borbollar	borbollo
vibrar	vibro
ascender	asciendo
electrocutar	electrocuto
contraindicar	contraindico
ideologizar	ideologizo
acañonear	acañoneo
localizar	localizo
comerciar	comercio
descongestionar	descongestiono
cometer	cometo
desconsolar	desconsuelo
balancear	balanceo
flechar	flecho
irrogar	irrogo
encaprichar	encapricho
facetar	faceto
escandir	escando
descascarar	descascaro
incautar	incauto
republicar	republico
desfallecer	desfallezco
catitear	catiteo
dramatizar	dramatizo
salvar	salvo
culpabilizar	culpabilizo
engomar	engomo
nulificar	nulifico
gotear	goteo
anotar	anoto
tecnificar	tecnifico
crear	creo
punir	puno
catalanizar	catalanizo
entrabar	entrabo
corroer	corroo
remilgar	remilgo
reñir	riño
sazonar	sazono
coproducir	coproduzco
redundar	redundo
sentenciar	sentencio
cabalgar	cabalgo
aliar	alío
grabar	grabo
apachurrar	apachurro
descentrar	descentro
tirar	tiro
relampaguear	relampagueo
producir	produzco
gritar	grito
malpensar	malpienso
tiritar	tirito
zancadillear	zancadilleo
entibiar	entibio
reaprovechar	reaprovecho
inflamar	inflamo
agarrar	agarro
abigarrar	abigarro
desmigajar	desmigajo
permutar	permuto
sonrojar	sonrojo
machar	macho
novar	novo
merodear	merodeo
desideologizar	desideologizo
escopetar	escopeto
desosar	deshueso
abrazar	abrazo
clavetear	claveteo
aristocratizar	aristocratizo
revolear	revoleo
descender	desciendo
embeber	embebo
mitificar	mitifico
planear	planeo
repugnar	repugno
abatanar	abatano
indiciar	indicio
abuñolar	abuñuelo
congelar	congelo
profundizar	profundizo
juzgar	juzgo
recopilar	recopilo
decepcionar	decepciono
consonar	consueno
salvaguardar	salvaguardo
fosilizar	fosilizo
henchir	hincho
bizcochar	bizcocho
encandilar	encandilo
prohibir	prohíbo
rasguñar	rasguño
azafranar	azafrano
transliterar	translitero
reinterpretar	reinterpreto
granular	granulo
correar	correo
auspiciar	auspicio
reeducar	reeduco
barnizar	barnizo
estereotipar	estereotipo
centrar	centro
estrujar	estrujo
promiscuir	promiscuo
puntear	punteo
achinar	achino
trasparentar	trasparento
chantajear	chantajeo
despampanar	despampano
trinchar	trincho
enzarzar	enzarzo
alear	aleo
alucinar	alucino
deleitar	deleito
vandalizar	vandalizo
horizontalizar	horizontalizo
concatenar	concateno
amurallar	amurallo
pepenar	pepeno
comportar	comporto
separar	separo
somatizar	somatizo
martillar	martillo
prosperar	prospero
quitar	quito
señalar	señalo
monitorear	monitoreo
arriesgar	arriesgo
mentir	miento
desmandar	desmando
asolear	asoleo
embriagar	embriago
enemistar	enemisto
intrigar	intrigo
desbastar	desbasto
aseverar	asevero
caricaturizar	caricaturizo
moblar	mueblo
gandulear	ganduleo
panificar	panifico
aguapar	aguapo
patentar	patento
despanzurrar	despanzurro
remecer	remezo
cruzar	cruzo
sosegar	sosiego
monetarizar	monetarizo
clonar	clono
sublimar	sublimo
satinar	satino
azulear	azuleo
recoger	recojo
abrotoñar	abrotoño
lamber	lambo
robustecer	robustezco
esponjar	esponjo
turistear	turisteo
anegar	aniego
engastar	engasto
rentar	rento
herir	hiero
autenticar	autentico
matasellar	matasello
extraviar	extravío
paginar	pagino
consignar	consigno
guarnecer	guarnezco
aojar	aojo
estrellar	estrello
churruscar	churrusco
abuzar	abuzo
enripiar	enripio
ahilar	ahílo
valorar	valoro
cilindrar	cilindro
luchar	lucho
bufonear	bufoneo
agrisar	agriso
acairelar	acairelo
cronometrar	cronometro
lubricar	lubrico
sucumbir	sucumbo
escurrir	escurro
remolonear	remoloneo
descollar	descuello
transcender	transciendo
rebuscar	rebusco
emparejar	emparejo
tapar	tapo
escamar	escamo
adoquinar	adoquino
consumar	consumo
blofear	blofeo
runrunear	runruneo
persuadir	persuado
graficar	grafico
actualizar	actualizo
acantonar	acantono
entornillar	entornillo
surfear	surfeo
intoxicar	intoxico
cuantiar	cuantío
agujar	agujo
chismear	chismeo
devolver	devuelvo
encanallar	encanallo
traslapar	traslapo
fajar	fajo
enmadrar	enmadro
desahuciar	desahucio
engrilletar	engrilleto
guiñar	guiño
desbandar	desbando
recepcionar	recepciono
colmar	colmo
arrullar	arrullo
gastar	gasto
hojaldrar	hojaldro
acompasar	acompaso
evacuar	evacúo
guindar	guindo
tutelar	tutelo
disonar	disueno
solubilizar	solubilizo
repudiar	repudio
asentar	asiento
entropezar	entropiezo
descachimbar	descachimbo
aparentar	aparento
barritar	barrito
torrar	torro
corresponsabilizar	corresponsabilizo
revertir	revierto
fulminar	fulmino
tapizar	tapizo
maldecir	maldigo
entredecir	entredigo
descansar	descanso
mellar	mello
entrelazar	entrelazo
arromar	arromo
colegir	colijo
asaltar	asalto
estilar	estilo
aparecer	aparezco
refinanciar	refinancio
guionar	guiono
perecer	perezco
bandear	bandeo
insertar	inserto
escribir	escribo
contestar	contesto
recalar	recalo
monedar	monedo
retranquear	retranqueo
reasentar	reasiento
enyerbar	enyerbo
resetear	reseteo
desmadejar	desmadejo
desenrollar	desenrollo
ejercer	ejerzo
amanecer	amanezco
despoblar	despueblo
escardar	escardo
divertir	divierto
purificar	purifico
engendrar	engendro
abacorar	abacoro
desestimular	desestimulo
condensar	condenso
desarrollar	desarrollo
candidatear	candidateo
liderar	lidero
zarpar	zarpo
tesar	teso
ultrajar	ultrajo
peinar	peino
carcomer	carcomo
observar	observo
otoñar	otoño
costar	cuesto
descapitalizar	descapitalizo
duchar	ducho
desregular	desregulo
cubicar	cubico
manotear	manoteo
oscilar	oscilo
cintar	cinto
acertar	acierto
contrapesar	contrapeso
humillar	humillo
desmemoriar	desmemorio
cuñar	cuño
pilotar	piloto
preconocer	preconozco
joder	jodo
arrodillar	arrodillo
camelar	camelo
escorar	escoro
alinear	alineo
periclitar	periclito
almorzar	almuerzo
desear	deseo
asistir	asisto
descalzar	descalzo
averiguar	averiguo
desrabotar	desraboto
caligrafiar	caligrafío
chiflar	chiflo
expirar	expiro
gesticular	gesticulo
acardenalar	acardenalo
apesadumbrar	apesadumbro
dispar	dispo
perrear	perreo
desengañar	desengaño
posibilitar	posibilito
fomentar	fomento
resalir	resalo
concursar	concurso
confrontar	confronto
reemitir	reemito
osificar	osifico
aplanar	aplano
ensopar	ensopo
reinventar	reinvento
conferir	confiero
modularizar	modularizo
zanjar	zanjo
fruncir	frunzo
enseñar	enseño
decebir	decibo
escandalizar	escandalizo
efundir	efundo
yodurar	yoduro
ritmar	ritmo
confesar	confieso
pasar	paso
empadronar	empadrono
salpresar	salpreso
hibernar	hiberno
subsistir	subsisto
descodificar	descodifico
declinar	declino
gafar	gafo
serrar	sierro
apestar	apesto
incardinar	incardino
imantar	imanto
acrianzar	acrianzo
coquetear	coqueteo
espejear	espejeo
secuenciar	secuencio
golpear	golpeo
rugir	rujo
agradar	agrado
vivificar	vivifico
emparedar	emparedo
acosar	acoso
estallar	estallo
sulfurar	sulfuro
enclavar	enclavo
exasperar	exaspero
denegar	deniego
euskaldunizar	euskaldunizo
subtitular	subtitulo
dimanar	dimano
raer	rao
servir	sirvo
maniatar	maniato
exulcerar	exulcero
investir	invisto
farrear	farreo
fichar	ficho
desnortar	desnorto
resplandecer	resplandezco
gatillar	gatillo
fintar	finto
reconocer	reconozco
hachar	hacho
segundar	segundo
carenar	careno
merengar	merengo
desfinanciar	desfinancio
adentrar	adentro
metamorfosear	metamorfoseo
violar	violo
envainar	envaino
apalancar	apalanco
delirar	deliro
judicializar	judicializo
indagar	indago
subdividir	subdivido
embrutecer	embrutezco
infectar	infecto
frentear	frenteo
trasponer	traspongo
azotar	azoto
lacrimar	lacrimo
chapar	chapo
capitalizar	capitalizo
fermentar	fermento
turbar	turbo
desceñir	desciño
maznar	mazno
desvariar	desvarío
gorronear	gorroneo
encañonar	encañono
depauperar	depaupero
intrusar	intruso
armar	armo
bambolear	bamboleo
degollar	degüello
vigilar	vigilo
almohadillar	almohadillo
autentificar	autentifico
sulfatar	sulfato
samplear	sampleo
autonombrar	autonombro
facultar	faculto
inducir	induzco
secretear	secreteo
esbozar	esbozo
abanderar	abandero
predicar	predico
enfundar	enfundo
achar	acho
tatuar	tatúo
subrogar	subrogo
escapar	escapo
autoconcebir	autoconcibo
sacramentar	sacramento
disertar	diserto
tartamudear	tartamudeo
escalar	escalo
horadar	horado
solear	soleo
amontonar	amontono
tiznar	tizno
rodear	rodeo
mensajear	mensajeo
deserotizar	deserotizo
enseñorar	enseñoro
geminar	gemino
relatar	relato
baldar	baldo
glotonear	glotoneo
fincar	finco
balaguer	balaguo
aislar	aíslo
contrahacer	contrahago
profundar	profundo
remolinear	remolineo
aflojar	aflojo
madrugar	madrugo
pelear	peleo
reclamar	reclamo
andar	ando
uñar	uño
galvanizar	galvanizo
inundar	inundo
descafeinar	descafeíno
desprender	desprendo
transgredir	transgredo
timbrar	timbro
civilizar	civilizo
parasitar	parasito
presupuestar	presupuesto
formular	formulo
gangrenar	gangreno
echar	echo
aculturar	aculturo
azadonar	azadono
husmear	husmeo
desinformar	desinformo
mercantilizar	mercantilizo
nominalizar	nominalizo
mecanizar	mecanizo
delinquir	delinco
religar	religo
reargüir	rearguyo
desenchufar	desenchufo
despepitar	despepito
titular	titulo
incomunicar	incomunico
exonerar	exonero
acolar	acolo
metaforizar	metaforizo
hiperventilar	hiperventilo
recobrar	recobro
aspaventar	aspaviento
apostillar	apostillo
encostrar	encostro
descalabrar	descalabro
aguaitar	aguaito
continuar	continúo
caducar	caduco
notificar	notifico
decir	digo
deforestar	deforesto
enjabonar	enjabono
refanfinflar	refanfinflo
edulcorar	edulcoro
menospreciar	menosprecio
engramar	engramo
fulgurar	fulguro
salivar	salivo
entrar	entro
marchar	marcho
zuzar	zuzo
pellizcar	pellizco
guacarear	guacareo
pretender	pretendo
quintuplicar	quintuplico
reblandecer	reblandezco
pertenecer	pertenezco
apelmazar	apelmazo
autoinmolar	autoinmolo
escabullir	escabullo
evangelizar	evangelizo
domiciliar	domicilio
repetir	repito
informatizar	informatizo
inclinar	inclino
farfullar	farfullo
reenviar	reenvio
irritar	irrito
terraformar	terraformo
hospitalizar	hospitalizo
ficar	fico
suscribir	suscribo
mallar	mallo
generalizar	generalizo
temblequear	temblequeo
reequilibrar	reequilibro
embutir	embuto
motear	moteo
alburear	albureo
descontinuar	descontinúo
trabajar	trabajo
burbujear	burbujeo
veranear	veraneo
refrendar	refrendo
legalizar	legalizo
sustanciar	sustancio
visitar	visito
ministerializar	ministerializo
fulgir	fuljo
ionizar	ionizo
extrudir	extrudo
madurar	maduro
expiar	expío
enervar	enervo
abominar	abomino
conectar	conecto
trascurrir	trascurro
alfabetizar	alfabetizo
petardear	petardeo
supervisar	superviso
tumbar	tumbo
glorificar	glorifico
desadormecer	desadormezco
impartir	imparto
capturar	capturo
registrar	registro
colectivizar	colectivizo
perdurar	perduro
regañar	regaño
colchar	colcho
destronar	destrono
homogeneizar	homogeneizo
antedatar	antedato
basar	baso
llover	lluevo
coparticipar	coparticipo
pinchar	pincho
mancomunar	mancomuno
tostar	tuesto
bailar	bailo
desencabestrar	desencabestro
frenar	freno
incumplir	incumplo
auscultar	ausculto
brotar	broto
faltar	falto
actuar	actúo
encaramar	encaramo
infravalorar	infravaloro
toquetear	toqueteo
desenganchar	desengancho
monetizar	monetizo
camuflajear	camuflajeo
refrescar	refresco
enmoquetar	enmoqueto
destentar	destiento
correr	corro
soterrar	sotierro
dirimir	dirimo
fundamentar	fundamento
responder	respondo
juramentar	juramento
apabullar	apabullo
procurar	procuro
facilitar	facilito
revacunar	revacuno
variar	varío
propinar	propino
agigantar	agiganto
pasaportar	pasaporto
pontificar	pontifico
estabular	estabulo
arrobar	arrobo
dopar	dopo
baldear	baldeo
alejar	alejo
escalfar	escalfo
votar	voto
accidentar	accidento
deplorar	deploro
concesionar	concesiono
tematizar	tematizo
enternecer	enternezco
preceptuar	preceptúo
abanar	abano
lacerar	lacero
incentivar	incentivo
contemporizar	contemporizo
historiar	historío
palanquear	palanqueo
bastar	basto
encallecer	encallezco
pencar	penco
distar	disto
acensuar	acensúo
combar	combo
agraviar	agravio
preponderar	prepondero
colorir	coloro
languidecer	languidezco
amblar	amblo
tibiar	tibio
